rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
290	tribe290	198896	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
291	tribe291	203914	6	3	3	s5_5seqs	2	33.33	66.67	s5_5seqs:2;s4_60seqs:1
292	tribe292	206839	6	4	2	s6_7seqs	4	66.67	100.00	s6_7seqs:4
293	tribe293	208898	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
294	tribe294	209044	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
295	tribe295	209073	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
296	tribe296	209082	6	4	2	s8_225seqs	4	66.67	100.00	s8_225seqs:4
297	tribe297	209118	6	4	2	s8_225seqs	4	66.67	100.00	s8_225seqs:4
298	tribe298	209157	6	4	2	s8_225seqs	4	66.67	100.00	s8_225seqs:4
299	tribe299	209180	6	5	1	s7g_172seqs	5	83.33	100.00	s7g_172seqs:5
300	tribe300	231998	6	2	4	s6_7seqs	2	33.33	100.00	s6_7seqs:2
301	tribe301	232114	6	4	2	s6_7seqs	3	50.00	75.00	s6_7seqs:3;s4_60seqs:1
302	tribe302	232752	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
303	tribe303	232792	6	3	3	s7g_172seqs	3	50.00	100.00	s7g_172seqs:3
304	tribe304	232808	6	6	0	s8_225seqs	6	100.00	100.00	s8_225seqs:6
305	tribe305	232835	6	0	6	unassigned	0	0.00	0.00	-
306	tribe306	232849	6	6	0	s6_7seqs	5	83.33	83.33	s6_7seqs:5;s4_60seqs:1
307	tribe307	232867	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
308	tribe308	232901	6	3	3	s4_60seqs	2	33.33	66.67	s4_60seqs:2;s6_7seqs:1
309	tribe309	239769	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
310	tribe310	240343	6	3	3	s5_5seqs	3	50.00	100.00	s5_5seqs:3
311	tribe311	242096	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
312	tribe312	244418	6	4	2	s5_5seqs	4	66.67	100.00	s5_5seqs:4
313	tribe313	245184	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
314	tribe314	247675	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
315	tribe315	254195	6	3	3	s5_5seqs	3	50.00	100.00	s5_5seqs:3
316	tribe316	255839	6	0	6	unassigned	0	0.00	0.00	-
317	tribe317	255861	6	5	1	s8_225seqs	5	83.33	100.00	s8_225seqs:5
318	tribe318	255925	6	2	4	s4_60seqs	1	16.67	50.00	s4_60seqs:1;s6_7seqs:1
319	tribe319	257197	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
320	tribe320	258024	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
321	tribe321	268212	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
322	tribe322	268320	6	2	4	s4_60seqs	1	16.67	50.00	s4_60seqs:1;s6_7seqs:1
323	tribe323	275809	6	6	0	s4_60seqs	6	100.00	100.00	s4_60seqs:6
324	tribe324	275817	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
325	tribe325	275845	6	3	3	s6_7seqs	3	50.00	100.00	s6_7seqs:3
326	tribe326	275871	6	0	6	unassigned	0	0.00	0.00	-
327	tribe327	275884	6	0	6	unassigned	0	0.00	0.00	-
328	tribe328	275887	6	3	3	s6_7seqs	2	33.33	66.67	s6_7seqs:2;s3_43seqs:1
329	tribe329	275888	6	4	2	s4_60seqs	4	66.67	100.00	s4_60seqs:4
330	tribe330	275898	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
331	tribe331	278790	6	3	3	s6_7seqs	3	50.00	100.00	s6_7seqs:3
332	tribe332	279246	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
333	tribe333	279255	6	5	1	s6_7seqs	5	83.33	100.00	s6_7seqs:5
334	tribe334	281063	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
335	tribe335	283263	6	5	1	s6_7seqs	5	83.33	100.00	s6_7seqs:5
336	tribe336	290486	6	6	0	s4_60seqs	6	100.00	100.00	s4_60seqs:6
337	tribe337	292386	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
338	tribe338	292400	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
339	tribe339	292463	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
340	tribe340	292470	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
341	tribe341	292847	6	4	2	s6_7seqs	4	66.67	100.00	s6_7seqs:4
342	tribe342	293717	6	3	3	s5_5seqs	3	50.00	100.00	s5_5seqs:3
343	tribe343	294308	6	3	3	s5_5seqs	3	50.00	100.00	s5_5seqs:3
344	tribe344	296160	6	3	3	s5_5seqs	3	50.00	100.00	s5_5seqs:3
345	tribe345	297165	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
346	tribe346	301412	6	3	3	s6_7seqs	3	50.00	100.00	s6_7seqs:3
347	tribe347	304502	6	3	3	s6_7seqs	3	50.00	100.00	s6_7seqs:3
348	tribe348	304883	6	2	4	s4_60seqs	1	16.67	50.00	s4_60seqs:1;s6_7seqs:1
349	tribe349	304933	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
350	tribe350	304957	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
351	tribe351	304984	6	6	0	s1_30seqs	6	100.00	100.00	s1_30seqs:6
352	tribe352	304987	6	5	1	s4_60seqs	4	66.67	80.00	s4_60seqs:4;s6_7seqs:1
353	tribe353	307237	6	0	6	unassigned	0	0.00	0.00	-
354	tribe354	312706	6	1	5	s4_60seqs	1	16.67	100.00	s4_60seqs:1
355	tribe355	312804	6	5	1	s6_7seqs	5	83.33	100.00	s6_7seqs:5
356	tribe356	313025	6	6	0	s1_30seqs	6	100.00	100.00	s1_30seqs:6
357	tribe357	313032	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
358	tribe358	313046	6	2	4	s3_43seqs	1	16.67	50.00	s3_43seqs:1;s8_225seqs:1
359	tribe359	318887	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
360	tribe360	318924	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
361	tribe361	324278	6	1	5	s1_30seqs	1	16.67	100.00	s1_30seqs:1
362	tribe362	328899	6	0	6	unassigned	0	0.00	0.00	-
363	tribe363	328932	6	6	0	s8_225seqs	6	100.00	100.00	s8_225seqs:6
364	tribe364	328951	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
365	tribe365	328960	6	2	4	s4_60seqs	2	33.33	100.00	s4_60seqs:2
366	tribe366	333146	6	1	5	s4_60seqs	1	16.67	100.00	s4_60seqs:1
367	tribe367	333189	6	6	0	s1_30seqs	6	100.00	100.00	s1_30seqs:6
368	tribe368	335780	6	4	2	s6_7seqs	3	50.00	75.00	s6_7seqs:3;s4_60seqs:1
369	tribe369	337236	6	5	1	s1_30seqs	5	83.33	100.00	s1_30seqs:5
370	tribe370	337302	6	6	0	s2_38seqs	6	100.00	100.00	s2_38seqs:6
371	tribe371	337329	6	5	1	s2_38seqs	5	83.33	100.00	s2_38seqs:5
372	tribe372	338845	6	1	5	s6_7seqs	1	16.67	100.00	s6_7seqs:1
373	tribe373	341039	6	5	1	s6_7seqs	4	66.67	80.00	s6_7seqs:4;s4_60seqs:1
374	tribe374	341051	6	5	1	s8_225seqs	5	83.33	100.00	s8_225seqs:5
375	tribe375	344165	6	0	6	unassigned	0	0.00	0.00	-
376	tribe376	346913	6	0	6	unassigned	0	0.00	0.00	-
377	tribe377	348596	6	2	4	s4_60seqs	2	33.33	100.00	s4_60seqs:2
378	tribe378	349227	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
379	tribe379	349397	6	6	0	s8_225seqs	6	100.00	100.00	s8_225seqs:6
380	tribe380	355613	6	2	4	s4_60seqs	1	16.67	50.00	s4_60seqs:1;s6_7seqs:1
